ISBN	Title	Subtitle	Author	Editorial	Synopsis	Subject	SubjectCode
9789875666481	El Aleph		Jorge Luis Borges	Debolsillo	Una colección de cuentos en los que Borges explora el tiempo circular, los espejos, los dobles y los puntos del universo donde converge todo lo existente. El cuento que da título al volumen narra el descubrimiento de un punto en el sótano de una casa donde se puede ver simultáneamente todo el universo. El Aleph es una de las obras fundamentales de la literatura universal del siglo XX.	LITERATURA LATINOAMERICANA	1313
9788493442606	Pedro Páramo		Juan Rulfo	RM Editorial	Juan Preciado viaja al pueblo de Comala en busca de su padre, Pedro Páramo, y encuentra un lugar habitado únicamente por muertos y murmullos. Rulfo construye una novela fragmentada y poética que mezcla la voz de los vivos y los muertos en una visión del México rural marcado por la violencia, el cacicazgo y el olvido. Pedro Páramo es considerada una obra maestra absoluta de la literatura en español y una precursora del realismo mágico.	LITERATURA LATINOAMERICANA	1313
9788493442613	El llano en llamas		Juan Rulfo	RM Editorial	Diecisiete cuentos que retratan el mundo rural mexicano con una prosa austera y poética, donde los personajes sobreviven entre la violencia de la Revolución, la sequía y la muerte. Rulfo da voz a campesinos, soldados y forajidos atrapados en un paisaje áspero que parece condenado desde siempre. El libro es uno de los grandes clásicos del cuento en lengua española y un retrato implacable de la condición humana.	LITERATURA LATINOAMERICANA	1313
9786073824279	La casa de los espíritus		Isabel Allende	Debolsillo	La saga de la familia Trueba a lo largo de cuatro generaciones en Chile, narrada a través de las voces de mujeres marcadas por el amor, la magia y la lucha política. Allende combina el realismo mágico con la historia reciente de América Latina para construir una épica familiar que culmina en el golpe de Estado. Es la novela que consagró a Isabel Allende como una de las escritoras más importantes de la literatura latinoamericana contemporánea.	LITERATURA LATINOAMERICANA	1313
9786073832021	Eva Luna		Isabel Allende	Debolsillo	Eva Luna es una narradora nata que utiliza las historias como arma de supervivencia en una América Latina convulsa y colorida. A través de su vida errante como huérfana, sirvienta y guerrillera, Allende teje un tapiz de personajes exuberantes que celebran la imaginación y la resistencia. La novela es un homenaje al poder de la palabra y a la capacidad de reinvención de las mujeres latinoamericanas.	LITERATURA LATINOAMERICANA	1313
9786073130288	Como agua para chocolate		Laura Esquivel	Debolsillo	Tita, la menor de tres hermanas en el México de principios del siglo XX, está condenada por tradición familiar a cuidar a su madre y a no casarse, aunque está profundamente enamorada de Pedro. Sus emociones se transfieren mágicamente a los alimentos que prepara, afectando a todos los que los prueban. La novela, estructurada como un recetario, es una celebración de la gastronomía, el deseo y la identidad femenina mexicana.	LITERATURA LATINOAMERICANA	1313
9786070784057	El túnel		Ernesto Sábato	Booket	Juan Pablo Castel, un pintor neurótico y obsesivo, confiesa desde la cárcel el asesinato de María Iribarne, la única mujer que comprendió el sentido oculto de uno de sus cuadros. La novela es una exploración brutal de los celos, la soledad existencial y la incomunicación humana, contada con una lógica aplastante que no admite piedad. El túnel es una de las obras más intensas e inquietantes de la literatura argentina del siglo XX.	LITERATURA LATINOAMERICANA	1313
9789705800085	La muerte de Artemio Cruz		Carlos Fuentes	Alfaguara	Artemio Cruz agoniza y su conciencia oscila entre tres voces narrativas que reconstruyen su vida: la de un revolucionario que traicionó sus ideales para convertirse en un magnate corrupto del México posrevolucionario. Fuentes utiliza una estructura temporal fragmentada para trazar un retrato implacable del poder, la traición y la complicidad que sostienen al sistema político mexicano. La novela es una de las obras más ambiciosas y logradas del boom latinoamericano.	LITERATURA LATINOAMERICANA	1313
9789707490062	Arráncame la vida		Ángeles Mastretta	Booket	Catalina Guzmán narra su vida junto al general Andrés Ascencio, un político corrupto y poderoso del México de los años cuarenta, con quien se casa siendo casi una niña. A través de una voz irónica y sensual, Mastretta retrata la condición de la mujer atrapada entre el amor, el poder y la necesidad de libertad. La novela es un clásico de la narrativa femenina mexicana y un retrato vívido de la época dorada del priismo.	LITERATURA LATINOAMERICANA	1313
9786070306624	El libro de los abrazos		Eduardo Galeano	Siglo XXI Editores	Una colección de viñetas, cuentos brevísimos y reflexiones en las que Galeano celebra la memoria, la solidaridad y la dignidad de los pueblos latinoamericanos con su prosa poética característica. El libro es un recorrido por las experiencias del exilio, la resistencia y la belleza cotidiana que resiste a la injusticia. Es uno de los libros más queridos del autor y un testimonio de su visión humanista y comprometida.	LITERATURA LATINOAMERICANA	1313
9786073838207	El cartero de Neruda		Antonio Skármeta	Debolsillo	En la isla de Isla Negra, el joven cartero Mario Jiménez entabla una amistad con Pablo Neruda y aprende de él el arte de la metáfora para conquistar a la bella Beatriz. Skármeta narra con ternura y humor una historia de amor y poesía ambientada en el Chile previo al golpe de 1973. La novela, llevada al cine como Il Postino, es una de las más encantadoras de la literatura latinoamericana contemporánea.	LITERATURA LATINOAMERICANA	1313
9788437601199	Las armas secretas		Julio Cortázar	Cátedra	Cinco cuentos en los que Cortázar explora el horror, el deseo y la identidad desde perspectivas perturbadoras e inesperadas, con El perseguidor como pieza central. La colección representa la madurez narrativa del autor y su capacidad para transformar lo cotidiano en territorio de lo fantástico. Es uno de los libros de cuentos más influyentes de la literatura latinoamericana del siglo XX.	LITERATURA LATINOAMERICANA	1313
9786073104920	Ficciones		Jorge Luis Borges	Debolsillo	Diecisiete relatos que exploran laberintos, bibliotecas infinitas, enciclopedias de mundos imaginarios y hombres que buscan el infinito en el espejo de la literatura. Borges inventa géneros, parodia la erudición y disuelve las fronteras entre la realidad y la ficción con una precisión matemática y una ironía inagotable. Ficciones es el libro que estableció a Borges como uno de los escritores más influyentes del siglo XX.	LITERATURA LATINOAMERICANA	1313
9788408163435	La sombra del viento		Carlos Ruiz Zafón	Planeta	En el Barcelona de la posguerra, el joven Daniel Sempere descubre un misterioso libro en el Cementerio de los Libros Olvidados que cambiará su vida para siempre. Al intentar protegerlo de un personaje enigmático que acecha desde las sombras, Daniel se adentra en un laberinto de secretos, pasiones y tragedias. Una novela deslumbrante que entrelaza el amor, la pérdida y la memoria en una historia que ha cautivado a millones de lectores en todo el mundo.	LITERATURA Y NOVELA	1301
9788408081180	El juego del ángel		Carlos Ruiz Zafón	Planeta	David Martín, un joven escritor atrapado en el Barcelona oscuro de los años veinte, recibe una misteriosa oferta de un editor que podría cambiar su destino. A medida que se adentra en el encargo, descubrirá que el precio de su alma podría ser más literal de lo que imaginaba. Una novela hipnótica que mezcla el thriller gótico con la reflexión sobre la creación literaria y el poder de las palabras.	LITERATURA Y NOVELA	1301
9788423964482	El alquimista		Paulo Coelho	Planeta	Santiago, un joven pastor andaluz, emprende un viaje en busca de un tesoro escondido junto a las pirámides de Egipto, guiado por señales y sueños que le hablan de su Leyenda Personal. En el camino descubrirá que el verdadero tesoro reside en el propio viaje y en la capacidad de escuchar el lenguaje del mundo. Una fábula filosófica que ha vendido más de 65 millones de ejemplares y se ha convertido en uno de los libros más leídos de todos los tiempos.	LITERATURA Y NOVELA	1301
9786074211214	Tokio blues (Norwegian Wood)		Haruki Murakami	Tusquets	Watanabe recuerda su juventud en el Tokio de los años sesenta, marcada por la pérdida de su mejor amigo y el amor imposible por Naoko, una joven frágil y perturbada. Entre el duelo y el deseo, Watanabe deberá elegir entre el pasado que lo ata y la vida que lo llama. Una novela melancólica y apasionada que convirtió a Murakami en un fenómeno literario mundial.	LITERATURA Y NOVELA	1301
9789584247735	Kafka en la orilla		Haruki Murakami	Tusquets	Kafka Tamura, un adolescente de quince años, huye de su hogar en Tokio y viaja a Takamatsu, donde encontrará refugio en una biblioteca privada y se verá envuelto en una historia que mezcla lo real y lo onírico. Paralelamente, Nakata, un anciano con la capacidad de hablar con los gatos, inicia su propio viaje inexplicable. Una obra magistral que explora los misterios del destino, la identidad y los mundos invisibles que habitan bajo la superficie de lo cotidiano.	LITERATURA Y NOVELA	1301
9789584238597	La insoportable levedad del ser		Milan Kundera	Tusquets	En el Praga de la Primavera checa, Tomás y Teresa viven un amor marcado por la contradicción entre la levedad y el peso de las decisiones existenciales. A través de sus vidas y las de quienes los rodean, Kundera reflexiona sobre el amor, la libertad, la fidelidad y el eterno retorno. Una novela filosófica y apasionante que se ha convertido en un clásico indispensable de la literatura contemporánea.	LITERATURA Y NOVELA	1301
9788432251146	El perfume	Historia de un asesino	Patrick Süskind	Booket	En el París del siglo XVIII nace Jean-Baptiste Grenouille, un ser sin olor propio pero dotado de un olfato sobrenatural que lo convierte en el mayor creador de fragancias de su época. Obsesionado con capturar el aroma perfecto, Grenouille comete crímenes atroces en su búsqueda de la esencia absoluta de la belleza. Una novela extraordinaria y perturbadora sobre la obsesión, el arte y la monstruosidad del genio.	LITERATURA Y NOVELA	1301
9788466347754	La ladrona de libros		Markus Zusak	Debolsillo	En la Alemania de la Segunda Guerra Mundial, Liesel Meminger, una niña de nueve años entregada en adopción, descubre el poder transformador de las palabras y los libros en los momentos más oscuros de la historia. Narrada desde la perspectiva de la Muerte, la novela sigue a Liesel mientras roba libros, aprende a leer y encuentra amor en medio del horror. Una historia profundamente humana sobre la resistencia del espíritu y la fuerza de las palabras frente a la barbarie.	LITERATURA Y NOVELA	1301
9788498389074	El cuento de la criada		Margaret Atwood	Salamandra	En la República de Gilead, una sociedad totalitaria y teocrática que ha reemplazado a los Estados Unidos, las mujeres fértiles son convertidas en Criadas, obligadas a reproducirse para las élites gobernantes. Offred, una de estas Criadas, narra su vida de sometimiento y su resistencia silenciosa en una distopía que resuena con aterradora actualidad. Una obra visionaria que explora los peligros del fanatismo religioso, el control sobre el cuerpo femenino y la resiliencia humana.	LITERATURA Y NOVELA	1301
9788439728122	Americanah		Chimamanda Ngozi Adichie	Literatura Random House	Ifemelu, una joven nigeriana, emigra a Estados Unidos para estudiar y se enfrenta a las complejidades de la raza, la identidad y el amor en una cultura que la obliga a redefinirse constantemente. A través de su blog sobre la experiencia de ser negra en América y su reencuentro con su primer amor, Obinze, la novela traza un retrato íntimo y político de la diáspora africana. Una obra brillante y urgente que examina el racismo, la clase social y el anhelo de pertenencia con una voz extraordinariamente fresca.	LITERATURA Y NOVELA	1301
9788499890944	1984		George Orwell	Debolsillo	En la oscura sociedad del Estado totalitario de Oceanía, Winston Smith trabaja reescribiendo la historia para el Partido que controla cada aspecto de la vida humana bajo la omnipresente mirada del Gran Hermano. Su pequeño acto de rebelión, un diario secreto y un amor prohibido, lo pondrá en ruta de colisión con el implacable aparato del poder. La distopía más influyente del siglo XX, que acuñó términos como «Gran Hermano», «doblepensar» y «neolengua» que definen nuestra comprensión del totalitarismo.	LITERATURA Y NOVELA	1301
9789584287120	Fahrenheit 451		Ray Bradbury	Minotauro	En un futuro en que los bomberos no apagan incendios sino que los provocan para quemar libros prohibidos, Guy Montag comienza a cuestionar el orden establecido cuando conoce a una joven que le muestra el valor del pensamiento y la memoria. Su despertar lo llevará a enfrentarse a una sociedad que prefiere la ignorancia al conocimiento y el entretenimiento vacío a la reflexión. Una obra profética y apasionante sobre la censura, la libertad intelectual y el poder redentor de la literatura.	LITERATURA Y NOVELA	1301
9788420412146	Don Quijote de la Mancha		Miguel de Cervantes Saavedra	Alfaguara	El hidalgo Alonso Quijano, enloquecido por la lectura de libros de caballerías, se convierte en el Caballero Don Quijote de la Mancha y emprende junto a su fiel escudero Sancho Panza una serie de aventuras disparatadas en la España del siglo XVII. La novela fundacional de la literatura moderna occidental explora con humor y profundidad los límites entre la locura y la cordura, la realidad y la ilusión. Editada por la Real Academia Española y Alfaguara, esta edición conmemoró el cuarto centenario de la primera publicación de la obra.	CLASICOS	1304
9788478887194	El principito		Antoine de Saint-Exupéry	Salamandra	Un aviador que ha aterrizado de emergencia en el desierto del Sahara conoce a un pequeño príncipe venido de otro planeta que le relata sus viajes por el universo y las lecciones que ha aprendido sobre la amistad, el amor y la esencia de las cosas. A través de sus encuentros con personajes peculiares y su amor por una rosa, el Principito revela verdades fundamentales sobre la vida que solo los niños comprenden plenamente. La obra más traducida de la literatura francesa es una fábula poética y filosófica que ha encantado a lectores de todas las edades desde su publicación en 1943.	CLASICOS	1304
9788420651361	La metamorfosis		Franz Kafka	Alianza Editorial	Gregor Samsa despierta una mañana transformado en un monstruoso insecto y debe enfrentarse a la reacción de su familia, que oscila entre el horror, la compasión y el rechazo. A través de esta perturbadora alegoría, Kafka explora temas como la alienación, la identidad, el trabajo deshumanizante y los vínculos familiares. Una de las obras más influyentes de la literatura universal del siglo XX, La metamorfosis es una obra breve que encierra una potencia simbólica inagotable.	CLASICOS	1304
9788420669786	El extranjero		Albert Camus	Alianza Editorial	Meursault, un joven argelino indiferente ante la muerte de su madre, comete un crimen aparentemente sin motivo bajo el sol abrasador de Argel y debe enfrentarse a un juicio en el que se juzga menos el acto que su falta de emoción. La novela fundacional del existencialismo absurdista de Camus presenta a un antihéroe que encarna la indiferencia del universo ante la condición humana. Una obra extraordinariamente concisa y poderosa que sigue siendo uno de los textos filosóficos y literarios más leídos del siglo XX.	CLASICOS	1304
9788420665658	Crimen y castigo		Fiódor Dostoievski	Alianza Editorial	El estudiante Rodión Raskólnikov, convencido de pertenecer a la categoría de los hombres superiores, asesina a una anciana usurera creyendo que el fin justifica los medios, pero la culpa lo corroe desde el primer instante. A través de su enfrentamiento psicológico con el sagaz inspector Porfiry y su relación con la abnegada Sonia, Dostoievski explora los abismos de la conciencia humana. Una de las novelas más grandes de la historia, Crimen y castigo es un estudio insuperable sobre la culpa, la redención y la complejidad moral del ser humano.	CLASICOS	1304
9788484288442	Ana Karenina		León Tolstói	Alba Editorial	Ana Karenina, una aristócrata casada de la sociedad rusa del siglo XIX, abandona su vida convencional por un amor apasionado con el conde Vronski, desafiando las normas sociales que la condenarán al ostracismo. Paralelamente, la historia de Lievin, un terrateniente que busca el sentido de la existencia a través del trabajo y el amor, ofrece un contrapunto filosófico a la tragedia de Ana. Considerada por muchos la novela perfecta, Ana Karenina es una obra monumental sobre el amor, la sociedad, la moral y la búsqueda de la felicidad.	CLASICOS	1304
9788484284888	Orgullo y prejuicio		Jane Austen	Alba Editorial	La vivaz Elizabeth Bennet y el orgulloso señor Darcy se enfrentan por primera vez en un baile y su mutua antipatía da paso, a lo largo de una serie de malentendidos y revelaciones, a uno de los romances más celebrados de la literatura en lengua inglesa. A través de las cinco hermanas Bennet y su madre empeñada en casarlas bien, Austen traza una sátira brillante de las costumbres y valores de la Inglaterra rural de su época. Una novela que ha resistido el paso del tiempo con su inteligencia, humor e irresistible encanto.	CLASICOS	1304
9788420675626	El gran Gatsby		F. Scott Fitzgerald	Alianza Editorial	En los dorados años veinte, el misterioso y opulento Jay Gatsby organiza fiestas legendarias en su mansión de Long Island con la esperanza de reencontrarse con Daisy Buchanan, el amor perdido de su juventud. Narrada por Nick Carraway, primo de Daisy, la novela desmonta el mito del Sueño Americano mostrando la corrupción y el vacío que se esconden bajo la superficie brillante de la prosperidad. Una obra maestra de precisión estilística que captura el espíritu de una época y ofrece una visión perdurable sobre la ilusión, la ambición y el paso del tiempo.	CLASICOS	1304
9788420651408	Romeo y Julieta		William Shakespeare	Alianza Editorial	En la ciudad italiana de Verona, Romeo Montesco y Julieta Capuleto se enamoran apasionadamente a pesar de pertenecer a dos familias enemigas cuya rivalidad ha ensangrentado la ciudad durante generaciones. Su amor secreto y su matrimonio precipitado desencadenan una serie de tragedias que culminarán en la muerte de ambos jóvenes. La más célebre tragedia romántica de todos los tiempos es una exploración imperecedera del amor absoluto, el destino, el odio heredado y la fugacidad de la dicha.	CLASICOS	1304
9788423345410	Los hombres que no amaban a las mujeres		Stieg Larsson	Destino	Mikael Blomkvist, un periodista de investigación, es contratado por un poderoso industrial para resolver el misterio de la desaparición de su sobrina hace cuarenta años. En el transcurso de la investigación, la enigmática hacker Lisbeth Salander se convierte en su aliada imprescindible. Juntos descubrirán secretos oscuros y crímenes enterrados en el pasado de una influyente familia sueca.	THRILLER O NOVELA NEGRA	1303
9788423349821	La chica que soñaba con una cerilla y un bidón de gasolina		Stieg Larsson	Destino	Lisbeth Salander, recuperada de sus heridas, trata de reconstruir su vida mientras Mikael Blomkvist investiga una red de tráfico de personas vinculada a los servicios de inteligencia suecos. Cuando Lisbeth es acusada de un triple asesinato, Blomkvist deberá demostrar su inocencia antes de que sea demasiado tarde. La trama revela oscuros secretos del pasado de Salander y la corrupción institucional.	THRILLER O NOVELA NEGRA	1303
9788423349579	La reina en el palacio de las corrientes de aire		Stieg Larsson	Ediciones Destino	En la conclusión de la trilogía Millennium, Lisbeth Salander se enfrenta a un juicio por intento de asesinato mientras Mikael Blomkvist lucha para sacar a la luz una conspiración estatal de décadas. Las revelaciones sobre el pasado de Lisbeth y las estructuras de poder que la han perseguido toda su vida llegan a un clímax explosivo. La novela cierra con maestría los hilos narrativos de la saga.	THRILLER O NOVELA NEGRA	1303
9788408141471	La chica del tren		Paula Hawkins	Planeta	Rachel toma el mismo tren todos los días y observa desde la ventana la vida aparentemente perfecta de una pareja en una casa cercana a la vía. Cuando la mujer desaparece, Rachel se ve involucrada en la investigación, aunque su memoria fragmentada por el alcohol la convierte en una testigo poco fiable. Un thriller psicológico que juega con la percepción y los secretos que todos escondemos.	THRILLER O NOVELA NEGRA	1303
9788490624951	Perdida		Gillian Flynn	Debolsillo	El día del quinto aniversario de matrimonio de Nick y Amy Dunne, Amy desaparece sin dejar rastro. Mientras la policía investiga y los medios especulan, los diarios de Amy revelan una imagen cada vez más inquietante de su relación. Un thriller perturbador sobre el matrimonio, los secretos y la manipulación psicológica que mantuvo al mundo en vilo.	THRILLER O NOVELA NEGRA	1303
9788408176022	El código Da Vinci		Dan Brown	Planeta	El profesor Robert Langdon es convocado al Louvre tras el asesinato del conservador del museo, cuyo cuerpo ha sido hallado en una extraña posición junto a crípticos mensajes. Junto a la criptóloga Sophie Neveu, Langdon descubre que el crimen está vinculado a una sociedad secreta que protege un antiguo misterio relacionado con el Santo Grial. Una carrera contrarreloj a través de símbolos, arte y conspiraciones sacude los cimientos de la historia occidental.	THRILLER O NOVELA NEGRA	1303
9788408176008	Ángeles y demonios		Dan Brown	Planeta	El simbologista Robert Langdon es llamado urgentemente a un laboratorio suizo tras el asesinato de un científico y el robo de una cantidad devastadora de antimateria. La pista lo lleva al Vaticano, donde una antigua hermandad conocida como los Illuminati amenaza con destruir la Ciudad del Vaticano durante la elección del nuevo Papa. Una trepidante novela que entrelaza ciencia, religión y arte en una cuenta atrás explosiva.	THRILLER O NOVELA NEGRA	1303
9788490628348	El club Dumas		Arturo Pérez-Reverte	Debolsillo	Lucas Corso, un experto en libros antiguos y mercenario de la bibliofilia, es contratado para autenticar un fragmento del manuscrito original de Los tres mosqueteros de Dumas. Paralela y misteriosamente, investiga un libro de magia del siglo XVII cuyos anteriores propietarios mueren en extrañas circunstancias. Una apasionante novela que mezcla la erudición literaria con el suspense y el homenaje a la cultura popular.	THRILLER O NOVELA NEGRA	1303
9788445009598	El señor de los anillos: La comunidad del anillo		J.R.R. Tolkien	Minotauro	El joven hobbit Frodo Bolsón hereda un anillo mágico de su tío Bilbo, sin saber que es el Único Anillo, creado por el Señor Oscuro Sauron para dominar la Tierra Media. Acompañado por un grupo de compañeros de diversas razas, emprende un peligroso viaje para destruirlo en las llamas del Monte del Destino. El primer volumen de la épica trilogía que redefinió la fantasía moderna.	FANTASIA Y CIENCIA FICCION	1308
9788445012802	El Hobbit		J.R.R. Tolkien	Minotauro	El tranquilo hobbit Bilbo Bolsón es arrastrado inesperadamente en una aventura por el mago Gandalf y una compañía de enanos con el objetivo de recuperar el tesoro custodiado por el dragón Smaug. Durante el viaje, Bilbo encuentra un anillo mágico y descubre reservas de valentía que jamás imaginó poseer. Una novela de aventuras llena de humor y maravilla que sirve como preludio a El señor de los anillos.	FANTASIA Y CIENCIA FICCION	1308
9788498382662	Harry Potter y la piedra filosofal		J.K. Rowling	Salamandra	El huérfano Harry Potter descubre el día de su undécimo cumpleaños que es un mago y que está admitido en el colegio Hogwarts de Magia y Hechicería. Allí hace sus primeros amigos, aprende a volar en escoba y se enfrenta a un misterio que involucra la legendaria piedra filosofal y al oscuro Lord Voldemort. El inicio de una saga que conquistó a lectores de todas las edades alrededor del mundo.	FANTASIA Y CIENCIA FICCION	1308
9788478884957	Harry Potter y la cámara secreta		J.K. Rowling	Salamandra	En su segundo año en Hogwarts, Harry Potter debe enfrentarse a una serie de ataques misteriosos que petrifican a los alumnos y que parecen provenir de una temida cámara secreta dentro del castillo. Con la ayuda de Ron y Hermione, Harry descubre la verdad sobre un oscuro pasado del colegio y el heredero de Slytherin. La aventura profundiza en los poderes ocultos de Harry y la amenaza latente de Voldemort.	FANTASIA Y CIENCIA FICCION	1308
9788478887613	Harry Potter y el prisionero de Azkaban		J.K. Rowling	Salamandra	En su tercer año, Harry descubre que el peligroso fugitivo Sirius Black, supuesto seguidor de Voldemort, ha escapado de la prisión de Azkaban y parece tener como objetivo matarle. La llegada al colegio de los terroríficos dementores y del nuevo profesor de Defensa, Remus Lupin, complica aún más un año lleno de secretos y revelaciones. Una entrega que amplía el universo mágico y presenta giros narrativos inesperados.	FANTASIA Y CIENCIA FICCION	1308
9788466363402	Dune		Frank Herbert	Debolsillo	En un lejano futuro, el joven Paul Atreides llega al árido planeta Arrakis, única fuente de la especia más valiosa del universo, tras recibir su gobierno como una trampa tendida por sus enemigos. Inmerso en la cultura del pueblo Fremen y en las profecías que lo señalan como mesías, Paul forja su destino entre la arena y la política intergaláctica. Considerada la novela de ciencia ficción más influyente de todos los tiempos.	FANTASIA Y CIENCIA FICCION	1308
9788466350945	Un mundo feliz		Aldous Huxley	Debolsillo	En un Estado Mundial del futuro, la humanidad ha alcanzado la estabilidad a costa de la libertad, el arte y la familia, condicionando a los individuos desde el nacimiento para amar su destino predeterminado. Bernard Marx y el Salvaje John cuestionan ese orden perfecto, enfrentándose a las consecuencias de la disidencia. Una novela distópica fundamental que sigue siendo perturbadoramente vigente.	FANTASIA Y CIENCIA FICCION	1308
9788408210047	Las crónicas de Narnia: El león, la bruja y el armario		C.S. Lewis	Destino	Los hermanos Pevensie descubren por accidente el mundo mágico de Narnia a través de un armario, un reino helado bajo el eterno invierno impuesto por la Bruja Blanca. Allí se unen al majestuoso león Aslan para liberar Narnia y cumplir una antigua profecía que los convierte en reyes y reinas. Una alegoría épica de la lucha entre el bien y el mal que ha encantado a generaciones de lectores.	FANTASIA Y CIENCIA FICCION	1308
9788496208926	Juego de tronos		George R.R. Martin	Gigamesh	En los Siete Reinos de Poniente, las grandes familias nobiliarias se disputan el Trono de Hierro en un juego de alianzas, traiciones y guerra, mientras en el norte una amenaza sobrenatural acecha más allá del inmenso muro de hielo. Eddard Stark, nombrado Mano del Rey, descubre una conspiración que pondrá en peligro a todos los que ama. El inicio de una saga épica que redefinió la fantasía de alto voltaje político.	FANTASIA Y CIENCIA FICCION	1308
